iter	Passed	Remaining
0	154	308696
1	166	166125
2	179	119228
3	187	93413
4	188	75117
5	196	65351
6	209	59714
7	218	54506
8	229	50874
9	246	48985
10	247	44699
11	261	43273
12	276	42297
13	284	40316
14	297	39309
15	300	37281
16	309	36065
17	316	34816
18	330	34465
19	345	34239
20	357	33685
21	367	33021
22	378	32535
23	395	32601
24	410	32390
25	422	32112
26	430	31455
27	440	31022
28	453	30822
29	466	30630
30	476	30295
31	490	30179
32	504	30053
33	519	30028
34	534	30008
35	547	29874
36	557	29598
37	564	29164
38	577	29034
39	590	28930
40	603	28840
41	618	28834
42	631	28754
43	645	28694
44	655	28483
45	666	28317
46	681	28330
47	689	28053
48	704	28032
49	719	28063
50	734	28061
51	747	28008
52	762	28025
53	775	27953
54	782	27680
55	796	27653
56	812	27704
57	824	27609
58	837	27550
59	846	27361
60	860	27358
61	875	27367
62	891	27415
63	903	27323
64	911	27138
65	926	27159
66	942	27183
67	957	27211
68	972	27214
69	987	27233
70	1002	27247
71	1017	27250
72	1026	27103
73	1036	26967
74	1045	26836
75	1051	26628
76	1067	26652
77	1082	26675
78	1095	26646
79	1106	26562
80	1121	26580
81	1134	26547
82	1139	26323
83	1150	26247
84	1162	26191
85	1171	26069
86	1186	26085
87	1200	26072
88	1215	26099
89	1220	25909
90	1233	25870
91	1244	25813
92	1259	25836
93	1274	25850
94	1285	25783
95	1299	25766
96	1313	25764
97	1328	25786
98	1342	25787
99	1356	25777
100	1371	25795
101	1384	25770
102	1397	25743
103	1412	25752
104	1425	25726
105	1440	25742
106	1456	25769
107	1470	25752
108	1485	25764
109	1495	25699
110	1509	25689
111	1519	25611
112	1533	25602
113	1537	25438
114	1548	25373
115	1557	25298
116	1569	25257
117	1585	25281
118	1600	25297
119	1601	25088
120	1613	25056
121	1624	25004
122	1633	24927
123	1650	24966
124	1664	24968
125	1672	24871
126	1683	24825
127	1700	24864
128	1711	24818
129	1721	24768
130	1737	24787
131	1752	24801
132	1765	24785
133	1780	24795
134	1795	24811
135	1803	24717
136	1813	24655
137	1826	24644
138	1840	24638
139	1851	24595
140	1863	24574
141	1878	24584
142	1892	24577
143	1905	24560
